covariate,beta,se,z,p_value,hazard_ratio,ci95_low,ci95_high,n_rows,n_events,converged,project,model
boundary_mode,-0.7244844469078598,0.2446368384471228,-2.9614691373002437,0.0030617517720340714,0.4845743283610717,0.3000000462185182,0.7827074784366798,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
age_at_index,0.025557753904391634,0.005925945782570846,4.312856519808378,1.611587106975419e-05,1.02588715354813,1.0140405557425913,1.0378721500387815,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
sex_male,0.07733841079089858,0.18696374572352348,0.41365458576800423,0.6791270908970307,1.0804076361370685,0.7489294210392141,1.5585990180537574,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
stage_II,-0.2292291745619598,1.1318110131316135,-0.20253308361764785,0.8394999972971211,0.7951462853209353,0.08650277710496786,7.309101929669398,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
stage_III,0.08738431862697509,0.5999264092399885,0.14565839623175972,0.8841910659966525,1.0913160122058805,0.33673081260178417,3.5368626627744346,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
stage_IV,-4.764375522574421,13.178173128245263,-0.3615353566999936,0.7176992789638885,0.008528212255898894,5.168572033654398e-14,1407166308.374743,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
stage_missing,0.24855973583238128,0.5105979217450524,0.4868013073435307,0.6263991437987524,1.2821774120166816,0.471322742783587,3.488011009561331,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
immune_lymphoid,0.06794129847106412,0.07601874713000455,0.8937439912666981,0.37145888234982083,1.0703024782427801,0.9221425609994581,1.2422671324171861,180,140,True,TCGA-SKCM,cox_am_vs_dc_adjusted
pdl1_log,0.12175932451772335,0.147541532135327,0.8252545758169579,0.4092270747530402,1.1294822303847207,0.8458425240667463,1.5082359569973263,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
circ_cv_ortho,2.5039611815589504,0.9999991392926197,2.5039633367386744,0.012281075968203308,12.230846734956383,1.722820663985966,86.83063477302929,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
pdl1_x_clock,-1.5514183296024426,0.5629050825862101,-2.7560922393427485,0.005849649822110735,0.21194714962676972,0.07031906715047646,0.6388252298453301,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
age_at_index,0.022720563491520424,0.0049721834380405915,4.569534445912158,4.888088253898364e-06,1.0229806414652036,1.0130596256040632,1.0329988150387133,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
sex_male,0.079021368279798,0.14696291480470422,0.5376959785045619,0.5907869560636305,1.0822274471621383,0.8113741844801616,1.443497056960795,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
stage_II,-0.07434944261362605,0.6151754892335106,-0.12085891573193712,0.9038027840555701,0.9283472330709023,0.27801133256187116,3.0999764549475732,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
stage_III,0.3983866304518201,0.4794839967345806,0.8308653326595755,0.40604970983499444,1.489419773640108,0.5819318099508523,3.812081113588732,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
stage_IV,0.5494251342215949,0.7132610332064357,0.7703002248022393,0.4411218230678935,1.7322569163618715,0.4280280745267031,7.010554220308127,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
stage_missing,0.3386666042287596,0.42042192989734917,0.8055398164207298,0.4205082393986379,1.403075487791856,0.6154753527883603,3.1985372209036163,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
immune_lymphoid,0.030969554141395902,0.058704803047925164,0.5275471943260438,0.5978136520598316,1.0314540999027824,0.919346801172977,1.1572320247907015,301,219,True,TCGA-SKCM,cox_pdl1_clock_interaction
circ_cv_ortho,-2.1072826185850833,1.2199775111347257,-1.7273126753173156,0.08411152398995644,0.12156786425625483,0.011126356337216863,1.3282646332648333,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
age_at_index,0.029722135960526478,0.007493866414349089,3.966195061018861,7.302910355001854e-05,1.0301682474704201,1.015147739225185,1.045411004812242,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
sex_male,0.11133499339479698,0.21982498771501718,0.5064710547789614,0.612526004489166,1.117769289471985,0.7264962319776823,1.7197724220613548,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
stage_II,-0.1404732690070125,0.836004743307995,-0.16802927271820553,0.8665602501741699,0.8689468924356162,0.1687996845012109,4.473164177437178,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
stage_III,0.3647199551990821,0.7196898293830075,0.5067738076995721,0.6123135362467114,1.4401106561715338,0.3513852389931434,5.902122433945707,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
stage_IV,1.0266732632001803,0.834735107124886,1.2299390003331658,0.2187199483045824,2.791762908680993,0.5436728744319816,14.335716392747951,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
stage_missing,0.4041724418594436,0.6058593805518123,0.6671060230037642,0.5047044131972115,1.4980622533266095,0.45689030760476357,4.911880329891684,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
immune_lymphoid,0.027360075397527495,0.07622003799882703,0.35896171290217077,0.7196237316697784,1.0277377992427934,0.8851207531185022,1.1933343335030893,151,101,True,TCGA-SKCM,cox_high_pdl1_clock_effect
boundary_mode,-0.5243418237447961,0.36825190833650334,-1.4238672275003121,0.15448491029065903,0.5919448402190989,0.28761987069745554,1.2182701181678623,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
age_at_index,0.010880705351061337,0.01257092999869211,0.8655449797424196,0.3867397393120954,1.0109401155048041,0.9863358956370067,1.036158089407085,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
sex_male,0.23862080577779926,0.25744396963022725,0.9268844250674656,0.3539865446180348,1.2694970593529062,0.7664626002906167,2.102676351193918,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
stage_II,0.33928568179547475,0.38466612149988894,0.8820264193595555,0.37776252052651493,1.4039443692755227,0.6605648898324278,2.983900328884365,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
